STRING,syllable1a_p,syllable1a_g,syllable1a_pg,syllable1b_p,syllable1b_g,syllable1b_pg,syllable1c_p,syllable1c_g,syllable1c_pg,syllable1d_p,syllable1d_g,syllable1d_pg,syllable1e_p,syllable1e_g,syllable1e_pg,syllable1f_p,syllable1f_g,syllable1f_pg,syllable2a_p,syllable2a_g,syllable2a_pg,syllable2b_p,syllable2b_g,syllable2b_pg,syllable2c_p,syllable2c_g,syllable2c_pg,syllable2d_p,syllable2d_g,syllable2d_pg,syllable2e_p,syllable2e_g,syllable2e_pg,syllable2f_p,syllable2f_g,syllable2f_pg,syllable3a_p,syllable3a_g,syllable3a_pg,syllable3b_p,syllable3b_g,syllable3b_pg,syllable3c_p,syllable3c_g,syllable3c_pg,syllable3d_p,syllable3d_g,syllable3d_pg,syllable3e_p,syllable3e_g,syllable3e_pg,syllable3f_p,syllable3f_g,syllable3f_pg,syllable4a_p,syllable4a_g,syllable4a_pg,syllable4b_p,syllable4b_g,syllable4b_pg,syllable4c_p,syllable4c_g,syllable4c_pg,syllable4d_p,syllable4d_g,syllable4d_pg,syllable4e_p,syllable4e_g,syllable4e_pg,syllable4f_p,syllable4f_g,syllable4f_pg,syllable5a_p,syllable5a_g,syllable5a_pg,syllable5b_p,syllable5b_g,syllable5b_pg,syllable5c_p,syllable5c_g,syllable5c_pg,syllable5d_p,syllable5d_g,syllable5d_pg,syllable5e_p,syllable5e_g,syllable5e_pg,syllable5f_p,syllable5f_g,syllable5f_pg,syllable6a_p,syllable6a_g,syllable6a_pg,syllable6b_p,syllable6b_g,syllable6b_pg,syllable6c_p,syllable6c_g,syllable6c_pg,syllable6d_p,syllable6d_g,syllable6d_pg,syllable6e_p,syllable6e_g,syllable6e_pg,syllable6f_p,syllable6f_g,syllable6f_pg
quest,k,q,k+q,w,u,w+u,ɛ,e,ɛ+e,s,s,s+s,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question,k,q,k+q,w,u,w+u,ɛ,e,ɛ+e,s,s,s+s,,,,,,,tʃ,ti,tʃ+ti,ə,o,ə+o,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
questionable,k,q,k+q,w,u,w+u,ɛ,e,ɛ+e,s,s,s+s,,,,,,,tʃ,ti,tʃ+ti,ə,o,ə+o,,,,,,,,,,,,,n,n,n+n,ə,a,ə+a,,,,,,,,,,,,,b,b,b+b,ə,,ə+_,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
questioned,k,q,k+q,w,u,w+u,ɛ,e,ɛ+e,s,s,s+s,,,,,,,tʃ,ti,tʃ+ti,ə,o,ə+o,n,n,n+n,d,ed,d+ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
questions,k,q,k+q,w,u,w+u,ɛ,e,ɛ+e,s,s,s+s,,,,,,,tʃ,ti,tʃ+ti,ə,o,ə+o,n,n,n+n,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
queue,k,qu,k+qu,ju,eue,ju+eue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quiche,k,qu,k+qu,i,i,i+i_e,ʃ,ch,ʃ+ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quick,k,q,k+q,w,u,w+u,ɪ,i,ɪ+i,k,ck,k+ck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quickly,k,q,k+q,w,u,w+u,ɪ,i,ɪ+i,,,,,,,,,,k,ck,k+ck,l,l,l+l,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quiet,k,q,k+q,w,u,w+u,aɪ,i,aɪ+i,,,,,,,,,,ə,e,ə+e,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quill,k,q,k+q,w,u,w+u,ɪ,i,ɪ+i,l,ll,l+ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quilt,k,q,k+q,w,u,w+u,ɪ,i,ɪ+i,l,l,l+l,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quince,k,q,k+q,w,u,w+u,ɪ,i,ɪ+i_e,n,n,n+n,s,c,s+c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quirk,k,q,k+q,w,u,w+u,ɚ,i,ɚ+i,r,r,r+r,k,k,k+k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quit,k,q,k+q,w,u,w+u,ɪ,i,ɪ+i,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quite,k,q,k+q,w,u,w+u,aɪ,i,aɪ+i_e,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quitter,k,q,k+q,w,u,w+u,ɪ,i,ɪ+i,,,,,,,,,,t,tt,t+tt,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quiver,k,q,k+q,w,u,w+u,ɪ,i,ɪ+i,,,,,,,,,,v,v,v+v,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quiz,k,q,k+q,w,u,w+u,ɪ,i,ɪ+i,z,z,z+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quo,k,q,k+q,w,u,w+u,oʊ,o,oʊ+o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quote,k,q,k+q,w,u,w+u,oʊ,o,oʊ+o_e,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quotient,k,q,k+q,w,u,w+u,oʊ,o,oʊ+o,,,,,,,,,,ʃ,ti,ʃ+ti,ə,e,ə+e,n,n,n+n,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rabbit,r,r,r+r,æ,a,æ+a,,,,,,,,,,,,,b,bb,b+bb,ɪ,i,ɪ+i,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rabbits,r,r,r+r,æ,a,æ+a,,,,,,,,,,,,,b,bb,b+bb,ɪ,i,ɪ+i,t,t,t+t,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rabies,r,r,r+r,eɪ,a,eɪ+a,,,,,,,,,,,,,b,b,b+b,i,ie,i+ie,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raccoon,r,r,r+r,æ,a,æ+a,,,,,,,,,,,,,k,cc,k+cc,u,oo,u+oo,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
race,r,r,r+r,eɪ,a,eɪ+a_e,s,c,s+c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
racehorse,r,r,r+r,eɪ,a,eɪ+a_e,s,c,s+c,,,,,,,,,,h,h,h+h,ɔ,o,ɔ+o_e,r,r,r+r,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
racer,r,r,r+r,eɪ,a,eɪ+a,,,,,,,,,,,,,s,c,s+c,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
racist,r,r,r+r,eɪ,a,eɪ+a,,,,,,,,,,,,,s,c,s+c,ɪ,i,ɪ+i,s,s,s+s,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rack,r,r,r+r,æ,a,æ+a,k,ck,k+ck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
racket,r,r,r+r,æ,a,æ+a,,,,,,,,,,,,,k,ck,k+ck,ɪ,e,ɪ+e,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radar,r,r,r+r,eɪ,a,eɪ+a,,,,,,,,,,,,,d,d,d+d,ɑ,a,ɑ+a,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radiators,r,r,r+r,eɪ,a,eɪ+a,,,,,,,,,,,,,d,d,d+d,i,i,i+i,,,,,,,,,,,,,eɪ,a,eɪ+a,,,,,,,,,,,,,,,,t,t,t+t,ɚ,o,ɚ+o,r,r,r+r,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radical,r,r,r+r,æ,a,æ+a,,,,,,,,,,,,,d,d,d+d,ɪ,i,ɪ+i,,,,,,,,,,,,,k,c,k+c,ə,a,ə+a,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radio,r,r,r+r,eɪ,a,eɪ+a,,,,,,,,,,,,,d,d,d+d,i,i,i+i,,,,,,,,,,,,,oʊ,o,oʊ+o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radish,r,r,r+r,æ,a,æ+a,,,,,,,,,,,,,d,d,d+d,ɪ,i,ɪ+i,ʃ,sh,ʃ+sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raft,r,r,r+r,æ,a,æ+a,f,f,f+f,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rafter,r,r,r+r,æ,a,æ+a,f,f,f+f,,,,,,,,,,t,t,t+t,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rag,r,r,r+r,æ,a,æ+a,g,g,g+g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ragamuffin,r,r,r+r,æ,a,æ+a,,,,,,,,,,,,,g,g,g+g,ə,a,ə+a,,,,,,,,,,,,,m,m,m+m,ʌ,u,ʌ+u,,,,,,,,,,,,,f,ff,f+ff,ɪ,i,ɪ+i,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rage,r,r,r+r,eɪ,a,eɪ+a_e,dʒ,g,dʒ+g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raggedy,r,r,r+r,æ,a,æ+a,,,,,,,,,,,,,g,gg,g+gg,ə,e,ə+e,,,,,,,,,,,,,d,d,d+d,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raid,r,r,r+r,eɪ,ai,eɪ+ai,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rail,r,r,r+r,eɪ,ai,eɪ+ai,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
railing,r,r,r+r,eɪ,ai,eɪ+ai,,,,,,,,,,,,,l,l,l+l,ɪ,i,ɪ+i,ŋ,ng,ŋ+ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
railroad,r,r,r+r,eɪ,ai,eɪ+ai,l,l,l+l,,,,,,,,,,r,r,r+r,oʊ,oa,oʊ+oa,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
railway,r,r,r+r,eɪ,ai,eɪ+ai,l,l,l+l,,,,,,,,,,w,w,w+w,eɪ,ay,eɪ+ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,r,r,r+r,eɪ,ai,eɪ+ai,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainbow,r,r,r+r,eɪ,ai,eɪ+ai,n,n,n+n,,,,,,,,,,b,b,b+b,oʊ,ow,oʊ+ow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raincoat,r,r,r+r,eɪ,ai,eɪ+ai,n,n,n+n,,,,,,,,,,k,c,k+c,oʊ,oa,oʊ+oa,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raindrop,r,r,r+r,eɪ,ai,eɪ+ai,n,n,n+n,,,,,,,,,,d,d,d+d,r,r,r+r,ɑ,o,ɑ+o,p,p,p+p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raines,r,r,r+r,eɪ,ai,eɪ+ai,n,n,n+n,z,es,z+es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainfall,r,r,r+r,eɪ,ai,eɪ+ai,n,n,n+n,,,,,,,,,,f,f,f+f,ɔ,a,ɔ+a,l,ll,l+ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainforest,r,r,r+r,eɪ,ai,eɪ+ai,n,n,n+n,,,,,,,,,,f,f,f+f,ɔ,o,ɔ+o,,,,,,,,,,,,,r,r,r+r,ə,e,ə+e,s,s,s+s,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainforest,r,r,r+r,eɪ,ai,eɪ+ai,n,n,n+n,,,,,,,,,,f,f,f+f,ɔ,o,ɔ+o,,,,,,,,,,,,,r,r,r+r,ɪ,e,ɪ+e,s,s,s+s,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rains,r,r,r+r,eɪ,ai,eɪ+ai,n,n,n+n,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainstorm,r,r,r+r,eɪ,ai,eɪ+ai,n,n,n+n,,,,,,,,,,s,s,s+s,t,t,t+t,ɔ,o,ɔ+o,r,r,r+r,m,m,m+m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainwater,r,r,r+r,eɪ,ai,eɪ+ai,n,n,n+n,,,,,,,,,,w,w,w+w,ɔ,a,ɔ+a,,,,,,,,,,,,,t,t,t+t,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainy,r,r,r+r,eɪ,ai,eɪ+ai,,,,,,,,,,,,,n,n,n+n,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raise,r,r,r+r,eɪ,ai,eɪ+ai_e,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raised,r,r,r+r,eɪ,ai,eɪ+ai,z,s,z+s,d,ed,d+ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raisin,r,r,r+r,eɪ,ai,eɪ+ai,,,,,,,,,,,,,z,s,z+s,ɪ,i,ɪ+i,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rake,r,r,r+r,eɪ,a,eɪ+a_e,k,k,k+k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ralph,r,r,r+r,æ,a,æ+a,l,l,l+l,f,ph,f+ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram,r,r,r+r,æ,a,æ+a,m,m,m+m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramble,r,r,r+r,æ,a,æ+a,m,m,m+m,,,,,,,,,,b,b,b+b,ə,,ə+_,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rambunctious,r,r,r+r,æ,a,æ+a,m,m,m+m,,,,,,,,,,b,b,b+b,ʌ,u,ʌ+u,ŋ,n,ŋ+n,k,c,k+c,,,,,,,ʃ,ti,ʃ+ti,ə,ou,ə+ou,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramon,r,r,r+r,ə,a,ə+a,,,,,,,,,,,,,m,m,m+m,oʊ,o,oʊ+o,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramp,r,r,r+r,æ,a,æ+a,m,m,m+m,p,p,p+p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ran,r,r,r+r,æ,a,æ+a,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranch,r,r,r+r,æ,a,æ+a,n,n,n+n,tʃ,ch,tʃ+ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
randall,r,r,r+r,æ,a,æ+a,n,n,n+n,,,,,,,,,,d,d,d+d,ə,a,ə+a,l,ll,l+ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rang,r,r,r+r,æ,a,æ+a,ŋ,ng,ŋ+ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
range,r,r,r+r,eɪ,a,eɪ+a_e,n,n,n+n,dʒ,g,dʒ+g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rangers,r,r,r+r,eɪ,a,eɪ+a,n,n,n+n,,,,,,,,,,dʒ,g,dʒ+g,ɚ,e,ɚ+e,r,r,r+r,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rank,r,r,r+r,æ,a,æ+a,ŋ,n,ŋ+n,k,k,k+k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rant,r,r,r+r,æ,a,æ+a,n,n,n+n,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rap,r,r,r+r,æ,a,æ+a,p,p,p+p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rape,r,r,r+r,eɪ,a,eɪ+a_e,p,p,p+p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapt,r,r,r+r,æ,a,æ+a,p,p,p+p,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rare,r,r,r+r,ɛ,a,ɛ+a_e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rascal,r,r,r+r,æ,a,æ+a,,,,,,,,,,,,,s,s,s+s,k,c,k+c,ə,a,ə+a,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rash,r,r,r+r,æ,a,æ+a,ʃ,sh,ʃ+sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rasp,r,r,r+r,æ,a,æ+a,s,s,s+s,p,p,p+p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raspberry,r,r,r+r,æ,a,æ+a,z,s,z+s,,,,,,,,,,b,pb,b+pb,ɛ,e,ɛ+e,,,,,,,,,,,,,r,rr,r+rr,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rat,r,r,r+r,æ,a,æ+a,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rate,r,r,r+r,eɪ,a,eɪ+a_e,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rather,r,r,r+r,æ,a,æ+a,,,,,,,,,,,,,ð,th,ð+th,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
